"branch","description","forks","issues","name","stars","url","md5sum"
"master","Library that provides an actor style message-passing programming model (in C++).",64,4,"3rdparty/libprocess",202,"https://github.com/3rdparty/libprocess","eb9c3655dc55d5b622fc0ffbf78f5226"
"master","A C++ library for building sturdy software.",20,4,"3rdparty/stout",97,"https://github.com/3rdparty/stout","ef594bbf97a8b8525a0a125d3962dab6"
"master","",0,0,"3rduncle/knowledgeflow",2,"https://github.com/3rduncle/knowledgeflow","d8ce74bf9a2d566480290120a1516980"
"master","Consul is a tool for service discovery, monitoring and configuration.",0,0,"42wim/consul",0,"https://github.com/42wim/consul","95f1bd7eea96a82b651890d0a3457f35"
"master","Computation using data flow graphs for scalable machine learning",0,0,"4Quant/tensorflow",0,"https://github.com/4Quant/tensorflow","91f919ad71ddc6b4bccc308354cf43a1"
"master","The C based gRPC (C++, Node.js, Python, Ruby, Objective-C, PHP, C#)",0,0,"7anner/grpc",0,"https://github.com/7anner/grpc","de42233279e330bf28bd533ae80cc1e2"
"master","The C based gRPC (C++, Node.js, Python, Ruby, Objective-C, PHP, C#)",0,0,"a11r/grpc",2,"https://github.com/a11r/grpc","a676f8bb0086c780142b37daba83e1b8"
"master","Repo for work for AI Survey",288,3,"a16z/ai",873,"https://github.com/a16z/ai","b8a9687a140845decafdc918557a5cd8"
"master","Implementation of Image Segmentation and Classification using Python on Tensorflow v0.12 and wrapper Slim, neural net VGG-16s, Scikit Image Library and Inception. The updated version of Aspectus contains custom made sticker batches for Telegram using the output.png file",0,0,"aakashsinha19/Aspectus",0,"https://github.com/aakashsinha19/Aspectus","8d4dd4c562dd1a1a6d933563dd52d599"
"master","Computation using data flow graphs for scalable machine learning",0,0,"aam-at/tensorflow",0,"https://github.com/aam-at/tensorflow","d07c476ed87bb01b0a2f3db3fd7c3cfc"
"master","Correct, reproducible, and fast builds for everyone.",0,0,"abergmeier-dsfishlabs/bazel",0,"https://github.com/abergmeier-dsfishlabs/bazel","13e08ae04b5b357c3008e53dec0c2103"
"master","Computation using data flow graphs for scalable machine learning",0,0,"abhitopia/tensorflow",0,"https://github.com/abhitopia/tensorflow","6ac5bf65b08c588f25d67693200fc4ef"
"master","Abseil Common Libraries (C++)",1649,68,"abseil/abseil-cpp",8835,"https://github.com/abseil/abseil-cpp","96d5deaa4a22246d25a25fc85c017fc4"
"master","",21,1,"abseil/abseil-hello",13,"https://github.com/abseil/abseil-hello","4dd4479696807f8b25c33561fd4a59c1"
"master","Kythe is a pluggable, (mostly) language-agnostic ecosystem for building tools that work with code.",0,0,"Acidburn0zzz/kythe",1,"https://github.com/Acidburn0zzz/kythe","e6408cb0873169f0910ec163b42e36dd"
"develop","A flexible, high-performance serving system for machine learning models",0,0,"addappio/serving",0,"https://github.com/addappio/serving","388b279d6fa3725f7a0cd7b7397f06c1"
"master","The C based gRPC (C++, Node.js, Python, Ruby, Objective-C, PHP, C#)",0,0,"adelez/grpc",0,"https://github.com/adelez/grpc","4acc9c23e37ac6b1661d32566ab45039"
"master","",1,0,"adevress/abseil-cpp",2,"https://github.com/adevress/abseil-cpp","f24dd0fe5995f294f9c9444b015ec063"
"release","Read-only mirror of https://gerrit.hyperledger.org/r/#/admin/projects/fabric-sdk-node",0,0,"adityachap/fabric-sdk-node",0,"https://github.com/adityachap/fabric-sdk-node","51f1747ea325abb10e426ba928169063"
"master","Computation using data flow graphs for scalable machine learning",0,0,"admcrae/tensorflow",0,"https://github.com/admcrae/tensorflow","65c5a828fe4ba35f47b851cd54e43288"
"master","System for motion planning of robots.",0,0,"adnanademovic/bubbles-motion-planning",0,"https://github.com/adnanademovic/bubbles-motion-planning","ef5b83d64ca75fd92466858cec24e705"
"master","Computation using data flow graphs for scalable machine learning",1,0,"a-doumoulakis/tensorflow",0,"https://github.com/a-doumoulakis/tensorflow","48975abbe0177a3d46ae24c83814f79b"
"master","AMP HTML source code, samples, and documentation.  See below for more info.",0,0,"adup-tech/amphtml",0,"https://github.com/adup-tech/amphtml","8e2e31a4713f4c5c89d87cc2b42668f3"
"master","Correct, reproducible, and fast builds for everyone.",0,0,"aehlig/bazel",0,"https://github.com/aehlig/bazel","0b01e23985112e2efaf9d4570dfe43d0"
"master"," Open source software library for numerical computation using data flow graphs.",7,0,"ageron/tensorflow",3,"https://github.com/ageron/tensorflow","37059942142c74f796efbccb43081446"
"master","",2,1,"aggiedefenders/aggiedefenders.github.io",0,"https://github.com/aggiedefenders/aggiedefenders.github.io","370599a4a83b327e0bdf2c377a26aa8b"
"dev","PKCS#11 Test Suite",0,0,"agrandville/pkcs11test",0,"https://github.com/agrandville/pkcs11test","fd5f1ae570bb9adf711676ba520bbae2"
"dev","Productivity app for accessing content (commands, text, etc) (super) fast content using tags.",1,34,"agudpp/alias",1,"https://github.com/agudpp/alias","f92d6bae6f92e22004090a1cacc9cea2"
"master","A fast deep neural network library (CPU) for speech recognition",16,1,"ahmetaa/fast-dnn",81,"https://github.com/ahmetaa/fast-dnn","cb4bb134fb6d14850bbec0c540bc52c1"
"master","A simple C++ container implementation",0,0,"airekans/container",0,"https://github.com/airekans/container","3101df12cc3bb069cb3390990da58001"
"master","The code snippet I used",0,3,"airekans/Snippet",2,"https://github.com/airekans/Snippet","6f8ccf02f0a5465a5f62611a07ac06bc"
"master","Apache module for rewriting web pages to reduce latency and bandwidth.",0,0,"ajayanandgit/mod_pagespeed",0,"https://github.com/ajayanandgit/mod_pagespeed","5d2ed132c5e62836fcb6428f72c195ba"
"master","a fast, scalable, multi-language and extensible build system",0,0,"akirabaruah/bazel",0,"https://github.com/akirabaruah/bazel","aeb519a9b7d5786d391b393aa776abf4"
"master","",0,0,"aksaxena80/test",0,"https://github.com/aksaxena80/test","b86a9684f667f4d424f0418ce6c27365"
"master","IDE for FreeBASIC",0,1,"albeva/fbide",3,"https://github.com/albeva/fbide","49007509388290fb6b74376ab0b0a5bc"
"master","cloc counts blank lines, comment lines, and physical lines of source code in many programming languages.",709,20,"AlDanial/cloc",11990,"https://github.com/AlDanial/cloc","c0a8f37a7d4b4e21d1f52eddbe5c955b"
"master","Computation using data flow graphs for scalable machine learning",0,0,"aldian/tensorflow",0,"https://github.com/aldian/tensorflow","fce57f2c4bed96011561db80ab289b6a"
"master","template neural network library v3",0,0,"alekstheod/tnnlib",3,"https://github.com/alekstheod/tnnlib","afb1c32ba51586984e1533502dd9a04c"
"master","Memory Efficient Serialization Library",0,0,"alexames/flatbuffers",0,"https://github.com/alexames/flatbuffers","8b5f469630699bdea510d5d6c4507c4b"
"stable","NodeJS rules for Bazel",1,0,"alexeagle/rules_nodejs",3,"https://github.com/alexeagle/rules_nodejs","33de8d5bf401c7a9de83239b4299e240"
"master","Models built with TensorFlow",1,0,"alexgorban/models",3,"https://github.com/alexgorban/models","d2757c7690098487c7a04049b73fc411"
"master","Telegram for Android source",0,0,"alexsh/Telegram",0,"https://github.com/alexsh/Telegram","901b1e13823f372b363abf5b1900c3b0"
"master","MAPS.ME - Offline OpenStreetMap maps for iOS/Android/Mac/Linux/Windows",0,0,"alexzatsepin/omim",0,"https://github.com/alexzatsepin/omim","93394812ba36ef3d85ac11fae06c6a3f"
"master","Improved performance for TensorFlow on Intel hardware.",0,0,"alheinecke/tensorflow-xsmm",0,"https://github.com/alheinecke/tensorflow-xsmm","d749bb3c8eb962279ed52ecc7edfc1b6"
"quux","QUIC, a multiplexed stream transport over UDP",0,0,"aliclark/libquic",0,"https://github.com/aliclark/libquic","7f4ad1fe168c99b8c29d1bfae928fa9a"
"asgd-dc","Top #71 contributor to Tensorflow in 2017.",0,0,"alisidd/tensorflow",2,"https://github.com/alisidd/tensorflow","987f3ba4192b53344d71db22c5c2e609"
"master","Computation using data flow graphs for scalable machine learning",0,0,"alistair-low/tensorflow",0,"https://github.com/alistair-low/tensorflow","62810a2ac7ef9f6c89e5cc21a4f5bc7a"
"master","Computation using data flow graphs for scalable machine learning",0,0,"alivecor/tensorflow",0,"https://github.com/alivecor/tensorflow","469e0988344ff66859032416348c4b55"
"master","Computation using data flow graphs for scalable machine learning",0,0,"allenlavoie/tensorflow",0,"https://github.com/allenlavoie/tensorflow","a40a73a3f0cd70e9dee6a31df46ccc5a"
"master","机器学习和量化分析学习进行中",209,0,"AlphaSmartDog/DeepLearningNotes",307,"https://github.com/AlphaSmartDog/DeepLearningNotes","29f73e4d9fe6205669f854d8754d96c2"
"master","Know more about your surroundings using Deep Learning",19,1,"alseambusher/Paideia",55,"https://github.com/alseambusher/Paideia","98aeb1325bb5e09abc16d68093c14f07"
"master","Computation using data flow graphs for scalable machine learning",1,0,"alsrgv/tensorflow",3,"https://github.com/alsrgv/tensorflow","7e555741f99dd11ca50c4f2a6fc37987"
"master","C++ front/service proxy",0,0,"amalgam8/envoy",3,"https://github.com/amalgam8/envoy","cc4760ffe6d3509d19ddab5241029e20"
"main","The AMP web component framework.",3841,1544,"ampproject/amphtml",14643,"https://github.com/ampproject/amphtml","01eb8f9ed68d1cc9c29e5bde39b2cb00"
"master","Tizen RT is a lightweight RTOS-based platform to support low-end IoT devices",0,0,"an4967/TizenRT",0,"https://github.com/an4967/TizenRT","ba1d552660cd2a1bd83fa977fafbca00"
"master","Computation using data flow graphs for scalable machine learning",0,0,"anand-c-goog/tensorflow",0,"https://github.com/anand-c-goog/tensorflow","743cd4ce8b2145105015c8f6fdd4bd3c"
"master","The C based gRPC (C++, Node.js, Python, Ruby, Objective-C, PHP, C#)",0,0,"aniongithub/grpc",0,"https://github.com/aniongithub/grpc","3d699676a2b9896ce7a3327e24cbde76"
"master","Computation using data flow graphs for scalable machine learning",0,0,"AndreasMadsen/tensorflow",0,"https://github.com/AndreasMadsen/tensorflow","bb43780d962d6cb838727e4ae21ea849"
"master","Computation using data flow graphs for scalable machine learning",0,0,"andrewcmyers/tensorflow",1,"https://github.com/andrewcmyers/tensorflow","28affd064da322c78c4dbba0380a5d60"
"master","The C based gRPC (C++, Node.js, Python, Ruby, Objective-C, PHP, C#)",0,0,"andrewpollock/grpc",0,"https://github.com/andrewpollock/grpc","f217f65010599e4d024536d240d55cd3"
"master","CS 598 LAZ: Project implementing Navigation in Complex Environments",0,0,"andzaytsev/deepnav",0,"https://github.com/andzaytsev/deepnav","72b2467fd6069c7c60d1183f3f1fd2eb"
"master","Computation using data flow graphs for scalable machine learning",0,0,"anilmuthineni/tensorflow",0,"https://github.com/anilmuthineni/tensorflow","5e4ce78a90c78514b6841791bbadbd7a"
"master","Computation using data flow graphs for scalable machine learning",0,0,"AnishShah/tensorflow",0,"https://github.com/AnishShah/tensorflow","c1e6ff130a01a3949724e5d5d8ce3e96"
"master","Computation using data flow graphs for scalable machine learning",0,0,"annarev/tensorflow",1,"https://github.com/annarev/tensorflow","af0b1efa80fe848a29e27db3d545011e"
"master","Protobuf-based RPC framework on Blade",5,0,"anqin/trident",4,"https://github.com/anqin/trident","031c1cbccaba7be5feaea0ba98b02450"
"master","Correct, reproducible, and fast builds for everyone.",0,0,"Ansahmadiba/bazel",0,"https://github.com/Ansahmadiba/bazel","a4168dc4f922cb9060c8d14a9f7f679a"
"master","Brotli compression format",0,0,"anthrotype/brotli",1,"https://github.com/anthrotype/brotli","c8ee4f2ea71266624f031befb7750cd1"
"master","",0,0,"antiagainst/SPIRV-Tools",0,"https://github.com/antiagainst/SPIRV-Tools","86e90200e9796bbc1621da9b4cf69397"
"master","Googletest - Google Testing and Mocking Framework",0,0,"antidotcb/googletest",0,"https://github.com/antidotcb/googletest","e3845815a4a618daf70cb518672afeb7"
"master","antkillerfarm's crazy magic",20,0,"antkillerfarm/antkillerfarm_crazy",14,"https://github.com/antkillerfarm/antkillerfarm_crazy","4388a39c7aae4d5ef1a77cba222a34a2"
"master","Useful bazel rules",6,0,"antonovvk/bazel_rules",9,"https://github.com/antonovvk/bazel_rules","02daa7e88c0b00654b052a979e871a22"
"master","C++ library for geonames.org data",0,0,"antonovvk/geonames",0,"https://github.com/antonovvk/geonames","d664f48459493562eb60f52b410f8d5a"
"master","Correct, reproducible, and fast builds for everyone.",0,0,"anupcshan/bazel",0,"https://github.com/anupcshan/bazel","f00743d9e240dd7e95fff359529fbcb0"
"master","Computation using data flow graphs for scalable machine learning",0,0,"apark263/tensorflow",0,"https://github.com/apark263/tensorflow","b93ea58df5c677d3fa71e169e658f2fa"
"master","A simple, fast HTTP and API benchmarking tool",27,10,"apigee/apib",224,"https://github.com/apigee/apib","cf060460bed83251e250d7f693a1d5e9"
"master","An open autonomous driving platform",7422,873,"ApolloAuto/apollo",18832,"https://github.com/ApolloAuto/apollo","c74cf8336bfccdb493543aded8d717da"
"apple/main","The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.  This fork is used to manage Apple’s stable releases of Clang as well as support the Swift project.",182,0,"apple/llvm-project",414,"https://github.com/apple/llvm-project","feafe13ad40da5c954af2dbb6b8c9cfe"
"devel","🥑 ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.",712,522,"arangodb/arangodb",11403,"https://github.com/arangodb/arangodb","aa6b3239a90df7b14517dd261b9e0c63"
"main","A fast and compact format for serialization and storage",34,26,"arangodb/velocypack",361,"https://github.com/arangodb/velocypack","18fe3663fdac5a6af1325db61d123b82"
"main","A fast and compact format for serialization and storage",34,26,"arangodb/velocypack",361,"https://github.com/arangodb/velocypack","18fe3663fdac5a6af1325db61d123b82"
"master","Computation using data flow graphs for scalable machine learning",1,0,"arborh/tensorflow",0,"https://github.com/arborh/tensorflow","f6c1fa1c1f9d3c06bccf226eb0fc08e0"
"master","Rewrite From Yandex Faster-rnnlm",0,0,"arg0/rnnlm",0,"https://github.com/arg0/rnnlm","427deb7bbe28d3f187d5789e0dd09a67"
"master","Make Bazel to be a sweeter piece of cake.",11,1,"argcv/argcv",9,"https://github.com/argcv/argcv","f40ee51b9bd899840a5cd726f0934d9c"
